week,dmanum,lr_spd,lr_grp,lr_imp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
5/6/2013,618,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5,374464.75,14389,27.5
5/6/2013,623,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7,413093.322,13606,26.7
5/6/2013,635,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9,53225.658,2496,12.9
5/6/2013,659,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9,65867.333,1039,11.9
5/6/2013,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/6/2013,803,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6,865108.74,36129,23.6
5/6/2013,807,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4,325700.48,18853,22.4
5/6/2013,825,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4,85625.732,4751,13.4
5/6/2013,862,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7,178816.98,6280,22.7
5/20/2013,518,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3,60593.942,777,17.3
5/20/2013,524,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19,263285.85,9988,19
5/20/2013,528,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4,177999.208,9325,18.4
5/20/2013,534,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4,170565.174,5808,23.4
